m2,rent,location
15,1500,Shangdi
18,2200,Shangdi
25,2800,Shangdi
108,4300,Shangdi
123,9700,Shangdi
20,3090,Shangdi
47,5300,Shangdi
59,7600,Shangdi
147,12000,Shangdi
105,18000,Shangdi
16,1399,Shangdi
181,18700,Shangdi
47,5300,Shangdi
15,2500,Shangdi
61,7200,Shangdi
18,2600,Shangdi
47,5300,Shangdi
147,12000,Shangdi
110,12000,Shangdi
13,2000,Shangdi
15,2500,Shangdi
18,2700,Shangdi
60,1100,Shangdi
147,12000,Shangdi
128,6000,Shangdi
15,2350,Shangdi
18,2700,Shangdi
25,2600,Shangdi
20,2600,Shangdi
147,12000,Shangdi
35,3500,Shangdi
10,1000,Shangdi
15,2299,Shangdi
123,9700,Shangdi
20,2500,Shangdi
15,2350,Shangdi
15,1000,Shangdi
18,2600,Shangdi
45,4500,Shangdi
80,8000,Shangdi
88,8100,Shangdi
147,12000,Shangdi
15,2600,Shangdi
110,12000,Shangdi
60,1550,Shangdi
65,1700,Shangdi
119,12000,Shangdi
105,18000,Shangdi
15,2399,Shangdi
128,11000,Shangdi
22,1680,Shangdi
20,2000,Shangdi
58,5900,Shangdi
47,5300,Shangdi
59,7600,Shangdi
127,10000,Shangdi
66,1650,Shangdi
20,2000,Shangdi
88,8100,Shangdi
147,12000,Shangdi
15,2000,Shangdi
22,1680,Shangdi
119,12000,Shangdi
66,1650,Shangdi
59,7600,Shangdi
45,4500,Shangdi
25,1500,Shangdi
128,11000,Shangdi
15,2600,Shangdi
110,12000,Shangdi
20,2300,Shangdi
61,7200,Shangdi
20,2000,Shangdi
35,3500,Shangdi
181,18700,Shangdi
65,1700,Shangdi
18,2600,Shangdi
116,10500,Shangdi
147,12000,Shangdi
147,12000,Shangdi
60,1550,Shangdi
11,2000,Shangdi
12,2400,Shangdi
58,5900,Shangdi
105,18000,Shangdi
119,12000,Shangdi
15,1500,Shangdi
20,2000,Shangdi
20,2500,Shangdi
16,1399,Shangdi
14,1600,Shangdi
20,3200,Shangdi
6,1700,Shangdi
110,11700,Shangdi
10,1000,Shangdi
111,8300,Shangdi
60,7000,Shangdi
66,12000,Shangdi
36,5500,Shangdi
150,11500,Shangdi
124,12500,Shangdi
114,11800,Shangdi
41,5900,Shangdi
41,6422,Shangdi
46,4600,Shangdi
66,11800,Shangdi
110,11700,Shangdi
34,6500,Shangdi
59,7500,Shangdi
41,5600,Shangdi
111,10500,Shangdi
112,9000,Shangdi
42,5500,Shangdi
97,11600,Shangdi
41,6890,Shangdi
10,2480,Shangdi
42,6000,Shangdi
123,12000,Shangdi
62,6200,Shangdi
150,13500,Shangdi
42,6600,Shangdi
116,8700,Shangdi
57,5700,Shangdi
62,6800,Shangdi
71,7500,Shangdi
57,5500,Shangdi
134,13500,Shangdi
15,3000,Shangdi
132,11000,Shangdi
156,18000,Shangdi
113,11500,Shangdi
57,6930,Shangdi
59,6200,Shangdi
100,12300,Shangdi
150,11500,Shangdi
70,7200,Shangdi
136,17000,Shangdi
22,3350,Shangdi
70,6500,Shangdi
15,2500,Shangdi
42,6300,Shangdi
90,6800,Shangdi
36,5660,Shangdi
11,1900,Shangdi
97,8800,Shangdi
51,4500,Shangdi
44,5800,Shangdi
46,6290,Shangdi
41,5600,Shangdi
84,8900,Shangdi
110,11800,Shangdi
150,13600,Shangdi
41,6422,Shangdi
63,6600,Shangdi
92,8800,Shangdi
35,2500,Shangdi
123,13500,Shangdi
70,6900,Shangdi
50,6000,Shangdi
92,8600,Shangdi
64,7500,Shangdi
53,5100,Shangdi
58,6090,Shangdi
115,9800,Shangdi
59,6100,Shangdi
15,2300,Shangdi
122,10000,Shangdi
136,10000,Shangdi
74,8700,Shangdi
84,8200,Shangdi
63,6600,Shangdi
65,8500,Shangdi
71,6900,Shangdi
150,13000,Shangdi
16,2730,Shangdi
111,10500,Shangdi
44,5600,Shangdi
61,7200,Shangdi
10,2050,Shangdi
76,7500,Shangdi
53,5100,Shangdi
132,11000,Shangdi
87,7600,Shangdi
129,11000,Shangdi
89,12000,Shangdi
103,9600,Shangdi
94,8300,Shangdi
110,11700,Shangdi
108,9000,Shangdi
30,4100,Shangdi
78,7500,Shangdi
11,1900,Shangdi
96,8000,Shangdi
101,9100,Shangdi
63,5900,Shangdi
157,15500,Shangdi
72,6800,Shangdi
42,6390,Shangdi
59,7800,Shangdi
44,5830,Shangdi
110,12000,Shangdi
22,2900,Shangdi
116,9500,Shangdi
81,5800,Shangdi
57,5660,Shangdi
97,12500,Shangdi
141,11000,Shangdi
87,8206,Shangdi
47,5600,Shangdi
42,5790,Shangdi
58,6000,Shangdi
149,17000,Shangdi
70,8500,Shangdi
95,8600,Shangdi
136,14500,Shangdi
59,7000,Shangdi
41,6800,Shangdi
34,6500,Shangdi
156,13800,Shangdi
95,8000,Shangdi
44,5600,Shangdi
62,6700,Shangdi
86,8300,Shangdi
91,9000,Shangdi
46,6000,Shangdi
95,7600,Shangdi
40,5980,Shangdi
59,7500,Shangdi
60,7000,Shangdi
81,14400,Shangdi
124,12500,Shangdi
19,3100,Shangdi
48,5500,Shangdi
127,10200,Shangdi
74,8700,Shangdi
41,6300,Shangdi
87,8200,Shangdi
20,3800,Shangdi
113,11000,Shangdi
63,8300,Shangdi
41,5900,Shangdi
42,6500,Shangdi
58,7800,Shangdi
79,9960,Shangdi
103,10200,Shangdi
180,19000,Shangdi
104,7000,Shangdi
57,5800,Shangdi
41,6200,Shangdi
15,2350,Shangdi
113,10500,Shangdi
114,12000,Shangdi
92,8600,Shangdi
38,5200,Shangdi
65,7390,Shangdi
57,6800,Shangdi
41,6660,Shangdi
63,6600,Shangdi
314,25800,Shangdi
71,7200,Shangdi
44,6500,Shangdi
100,8200,Shangdi
127,15500,Shangdi
132,12060,Shangdi
140,12500,Shangdi
131,13200,Shangdi
77,8300,Shangdi
59,6300,Shangdi
42,6300,Shangdi
157,17000,Shangdi
12,2450,Shangdi
139,12000,Shangdi
114,11800,Shangdi
42,6160,Shangdi
16,2730,Shangdi
124,9700,Shangdi
44,7190,Shangdi
59,6300,Shangdi
46,5400,Shangdi
45,6630,Shangdi
54,6000,Shangdi
67,8500,Shangdi
49,6300,Shangdi
147,12000,Shangdi
138,12000,Shangdi
59,6800,Shangdi
210,18800,Shangdi
69,7800,Shangdi
157,16000,Shangdi
123,12000,Shangdi
90,7000,Shangdi
148,19000,Shangdi
59,7500,Shangdi
88,7500,Shangdi
59,9000,Shangdi
126,10000,Shangdi
72,8900,Shangdi
57,6930,Shangdi
156,13800,Shangdi
110,7800,Shangdi
59,6800,Shangdi
56,6500,Shangdi
74,8700,Shangdi
41,5960,Shangdi
62,6700,Shangdi
156,13800,Shangdi
52,8000,Shangdi
64,7400,Shangdi
63,7400,Shangdi
54,6100,Shangdi
100,8200,Shangdi
116,11000,Shangdi
146,14000,Shangdi
63,6000,Shangdi
44,5600,Shangdi
58,7600,Shangdi
64,7300,Shangdi
131,13200,Shangdi
65,8500,Shangdi
86,8300,Shangdi
44,5700,Shangdi
42,6200,Shangdi
41,6690,Shangdi
78,7400,Shangdi
314,25800,Shangdi
88,7500,Shangdi
116,9200,Shangdi
108,9000,Shangdi
180,19000,Shangdi
88,7900,Shangdi
30,3800,Shangdi
42,5990,Shangdi
140,11000,Shangdi
62,8629,Shangdi
62,7500,Shangdi
41,6000,Shangdi
113,10500,Shangdi
97,9000,Shangdi
95,9789,Shangdi
157,17000,Shangdi
110,11500,Shangdi
63,6500,Shangdi
123,13500,Shangdi
78,7300,Shangdi
57,5800,Shangdi
73,8000,Shangdi
46,6000,Shangdi
107,8400,Shangdi
57,5800,Shangdi
92,8500,Shangdi
88,11500,Shangdi
87,8000,Shangdi
87,7800,Shangdi
59,6500,Shangdi
88,9000,Shangdi
61,7200,Shangdi
14,2300,Shangdi
104,7700,Shangdi
116,10500,Shangdi
44,5300,Shangdi
54,6100,Shangdi
44,6500,Shangdi
97,8800,Shangdi
90,7000,Shangdi
50,6200,Shangdi
116,10000,Shangdi
76,7500,Shangdi
58,8490,Shangdi
46,4600,Shangdi
69,7300,Shangdi
138,12000,Shangdi
46,5500,Shangdi
60,7900,Shangdi
59,6500,Shangdi
15,3000,Shangdi
116,8700,Shangdi
44,5800,Shangdi
74,8700,Shangdi
43,6800,Shangdi
84,8900,Shangdi
88,7500,Shangdi
157,16000,Shangdi
42,6300,Shangdi
41,6000,Shangdi
42,6760,Shangdi
76,8500,Shangdi
87,8206,Shangdi
59,7500,Shangdi
78,8300,Shangdi
124,10500,Shangdi
156,16500,Shangdi
92,8500,Shangdi
42,6000,Shangdi
122,10000,Shangdi
65,7390,Shangdi
63,6334,Shangdi
100,8200,Shangdi
44,6730,Shangdi
78,7500,Shangdi
14,2600,Shangdi
114,12000,Shangdi
112,14500,Shangdi
57,6200,Shangdi
81,14400,Shangdi
46,6430,Shangdi
15,2500,Shangdi
41,6690,Shangdi
79,4500,Shangdi
101,9900,Shangdi
90,5000,Shangdi
118,11500,Shangdi
45,6200,Shangdi
42,6200,Shangdi
72,6800,Shangdi
41,6300,Shangdi
77,8300,Shangdi
113,11500,Shangdi
95,9789,Shangdi
90,5200,Shangdi
47,5600,Shangdi
58,6000,Shangdi
74,8700,Shangdi
80,4500,Shangdi
59,6800,Shangdi
63,7400,Shangdi
122,11000,Shangdi
85,4300,Shangdi
80,8000,Shangdi
63,7900,Shangdi
103,11500,Shangdi
52,8000,Shangdi
89,4200,Shangdi
72,7800,Shangdi
79,4800,Shangdi
59,6500,Shangdi
85,4800,Shangdi
78,7300,Shangdi
81,5800,Shangdi
90,5200,Shangdi
80,4500,Shangdi
42,6300,Shangdi
181,17500,Shangdi
86,8000,Shangdi
41,6300,Shangdi
88,5300,Shangdi
59,6300,Shangdi
41,6100,Shangdi
88,7500,Shangdi
63,6600,Shangdi
100,8200,Shangdi
53,5100,Shangdi
119,11000,Shangdi
139,18200,Shangdi
41,6000,Shangdi
157,17000,Shangdi
114,11800,Shangdi
88,7500,Shangdi
94,8300,Shangdi
85,4000,Shangdi
113,10500,Shangdi
84,8200,Shangdi
96,5200,Shangdi
89,4600,Shangdi
94,5200,Shangdi
62,6200,Shangdi
64,7500,Shangdi
133,12500,Shangdi
95,5500,Shangdi
57,6500,Shangdi
100,8800,Shangdi
112,9000,Shangdi
198,22000,Shangdi
97,9000,Shangdi
98,9290,Shangdi
60,8800,Shangdi
79,4500,Shangdi
156,16500,Shangdi
133,13000,Shangdi
80,7300,Shangdi
36,5200,Shangdi
42,5200,Shangdi
47,6500,Shangdi
56,6200,Shangdi
87,8000,Shangdi
114,11300,Shangdi
46,6300,Shangdi
85,4500,Shangdi
42,6000,Shangdi
51,4500,Shangdi
136,16000,Shangdi
80,4500,Shangdi
63,6600,Shangdi
10,2050,Shangdi
122,11000,Shangdi
78,7200,Shangdi
57,7190,Shangdi
70,7200,Shangdi
89,4900,Shangdi
80,4500,Shangdi
104,7700,Shangdi
314,25800,Shangdi
100,8700,Shangdi
61,7300,Shangdi
88,9000,Shangdi
116,12500,Shangdi
59,6800,Shangdi
59,6100,Shangdi
43,6800,Shangdi
57,5500,Shangdi
181,17500,Shangdi
111,8600,Shangdi
239,17000,Shangdi
136,10000,Shangdi
169,14500,Shangdi
96,5800,Shangdi
63,7500,Shangdi
78,9100,Shangdi
156,16500,Shangdi
46,6000,Shangdi
66,11800,Shangdi
73,7455,Shangdi
41,6300,Shangdi
95,5500,Shangdi
69,8200,Shangdi
90,8500,Shangdi
114,12000,Shangdi
88,4500,Shangdi
59,6500,Shangdi
41,6690,Shangdi
95,5500,Shangdi
77,10500,Shangdi
146,12800,Shangdi
80,8000,Shangdi
59,6500,Shangdi
52,8000,Shangdi
90,5500,Shangdi
120,15000,Shangdi
41,6800,Shangdi
126,10000,Shangdi
45,5500,Shangdi
89,5187,Shangdi
61,7200,Shangdi
12,2200,Shangdi
47,6500,Shangdi
87,11000,Shangdi
100,10000,Shangdi
96,5800,Shangdi
44,6735,Shangdi
156,11300,Shangdi
58,3500,Shangdi
150,13000,Shangdi
116,12000,Shangdi
61,7300,Shangdi
89,5200,Shangdi
147,12000,Shangdi
87,8200,Shangdi
80,4100,Shangdi
69,8200,Shangdi
78,4600,Shangdi
63,6900,Shangdi
12,2450,Shangdi
46,4600,Shangdi
16,2730,Shangdi
114,11300,Shangdi
86,8300,Shangdi
85,4600,Shangdi
96,9200,Shangdi
57,5700,Shangdi
87,11000,Shangdi
42,6300,Shangdi
47,5600,Shangdi
41,6363,Shangdi
60,7900,Shangdi
72,6800,Shangdi
110,11700,Shangdi
87,12800,Shangdi
63,7500,Shangdi
62,8629,Shangdi
59,7500,Shangdi
88,4500,Shangdi
86,3500,Shangdi
123,12000,Shangdi
115,11200,Shangdi
96,5300,Shangdi
47,6500,Shangdi
110,11000,Shangdi
139,12000,Shangdi
11,1900,Shangdi
156,18000,Shangdi
148,19000,Shangdi
44,5500,Shangdi
119,15500,Shangdi
112,12500,Shangdi
42,5500,Shangdi
114,12000,Shangdi
59,8000,Shangdi
56,7300,Shangdi
173,18000,Shangdi
16,2700,Shangdi
143,13000,Shangdi
89,5200,Shangdi
180,19000,Shangdi
78,7630,Shangdi
104,7000,Shangdi
103,10200,Shangdi
59,7300,Shangdi
45,6100,Shangdi
45,6390,Shangdi
44,6000,Shangdi
63,8300,Shangdi
102,9960,Shangdi
80,8200,Shangdi
41,6660,Shangdi
41,6000,Shangdi
88,5400,Shangdi
41,6890,Shangdi
50,6000,Shangdi
57,6800,Shangdi
59,7500,Shangdi
25,2800,Shangdi
59,8300,Shangdi
66,11800,Shangdi
51,4500,Shangdi
92,11800,Shangdi
98,7999,Shangdi
65,6500,Shangdi
82,10000,Shangdi
118,11500,Shangdi
80,3150,Shangdi
43,6600,Shangdi
85,4500,Shangdi
116,12500,Shangdi
45,6100,Shangdi
63,6600,Shangdi
30,3800,Shangdi
110,11000,Shangdi
42,5200,Shangdi
93,8600,Shangdi
90,6800,Shangdi
17,3500,Shangdi
65,9800,Shangdi
80,4600,Shangdi
87,8300,Shangdi
59,7900,Shangdi
113,10500,Shangdi
181,16800,Shangdi
89,5000,Shangdi
11,2150,Shangdi
122,8000,Shangdi
59,6500,Shangdi
44,5300,Shangdi
86,4000,Shangdi
85,4600,Shangdi
42,6200,Shangdi
146,12800,Shangdi
10,2400,Shangdi
56,6200,Shangdi
44,5600,Shangdi
41,6000,Shangdi
92,8500,Shangdi
80,4600,Shangdi
139,12000,Shangdi
59,8000,Shangdi
12,2300,Shangdi
90,5200,Shangdi
80,4800,Shangdi
115,9800,Shangdi
65,7600,Shangdi
59,7300,Shangdi
147,12000,Shangdi
87,11000,Shangdi
139,18200,Shangdi
111,10500,Shangdi
87,3800,Shangdi
42,6300,Shangdi
84,4200,Shangdi
64,7400,Shangdi
41,5600,Shangdi
108,8200,Shangdi
36,5200,Shangdi
62,6200,Shangdi
73,7900,Shangdi
95,8600,Shangdi
86,4000,Shangdi
150,18000,Shangdi
158,17000,Shangdi
48,5500,Shangdi
59,6500,Shangdi
132,13000,Shangdi
86,8000,Shangdi
150,14200,Shangdi
63,6600,Shangdi
87,7600,Shangdi
96,5800,Shangdi
108,9800,Shangdi
181,17500,Shangdi
48,5900,Shangdi
77,10500,Shangdi
95,5200,Shangdi
61,7300,Shangdi
59,8000,Shangdi
129,11000,Shangdi
47,5600,Shangdi
65,6700,Shangdi
87,7800,Shangdi
95,5300,Shangdi
85,4500,Shangdi
120,14800,Shangdi
100,10000,Shangdi
58,8090,Shangdi
89,4300,Shangdi
63,7500,Shangdi
47,5950,Shangdi
41,6200,Shangdi
150,11500,Shangdi
84,4300,Shangdi
132,12500,Shangdi
132,12500,Shangdi
20,3800,Shangdi
36,5660,Shangdi
95,5300,Shangdi
41,6300,Shangdi
78,9100,Shangdi
59,6300,Shangdi
45,6200,Shangdi
126,10000,Shangdi
46,6500,Shangdi
116,9200,Shangdi
110,11500,Shangdi
60,4900,Shangdi
129,11000,Shangdi
89,4500,Shangdi
45,5600,Shangdi
127,14000,Shangdi
76,8500,Shangdi
113,11500,Shangdi
42,5900,Shangdi
59,6500,Shangdi
85,4200,Shangdi
85,4700,Shangdi
56,7800,Shangdi
13,2500,Shangdi
95,9789,Shangdi
156,13800,Shangdi
48,6300,Shangdi
117,10000,Shangdi
90,5500,Shangdi
87,8000,Shangdi
97,13300,Shangdi
120,14800,Shangdi
95,5000,Shangdi
19,3100,Shangdi
120,8800,Shangdi
90,8500,Shangdi
131,12500,Shangdi
148,12000,Shangdi
95,8610,Shangdi
46,5400,Shangdi
84,4600,Shangdi
85,4700,Shangdi
88,7900,Shangdi
72,5700,Shangdi
116,8760,Shangdi
57,6200,Shangdi
87,3800,Shangdi
43,6800,Shangdi
65,7390,Shangdi
119,15000,Shangdi
95,5500,Shangdi
